source,name,category,average_rating,review_count,price_range,latitude,longitude,location_text,description,what_to_expect,url,image_url
Sugbo,Cebu Safari and Adventure Park,garden / nature,,,,,,"Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport.","Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens","Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens",https://sugbo.ph/2018/day-tour-guide-cebu-safari/,https://sugbo.ph/wp-content/uploads/2018/11/cebusafari-1.jpg
Sugbo,Cebu Ocean Park,park / attraction,,,,,,"South Road Properties, Cebu City (across SM Seaside City Cebu) — approx. 2 hours away from Mactan Airport.","Location: South Road Properties, Cebu City (across SM Seaside City Cebu) — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 marine species, Water Show, Convention Center","Over 100 marine species, Water Show, Convention Center",https://sugbo.ph/2019/cebu-ocean-park/,https://sugbo.ph/wp-content/uploads/2019/07/Cebu-Ocean-Park-Actual-Photos-1-1024x768.jpg
Sugbo,Sky Diving in Cebu,beach / island / marine,,,,,,"Bantayan Island, Northern Cebu — approx. 4-5 hours away from Mactan Airport.","Location: Bantayan Island, Northern Cebu — approx. 4-5 hours away from Mactan Airport. | What to expect: Reliable sky diving experience",Reliable sky diving experience,https://sugbo.ph/2018/skydiving-in-cebu/,https://sugbo.ph/wp-content/uploads/2018/05/skydiving-cebu-sugboph-11-1024x577.jpg
Sugbo,Anjo World Theme Park,park / attraction,,,,,,"Minglanilla, Southern Cebu — approx. 2 hours away from Mactan Airport.","Location: Minglanilla, Southern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 10 Rides, Biggest Ferris Wheel, Snow World","Over 10 Rides, Biggest Ferris Wheel, Snow World",https://sugbo.ph/2019/rides-at-anjo-world-theme-park/,https://sugbo.ph/wp-content/uploads/2019/08/Snow-World-Cebu-Anjo-World-1024x768.jpg
Sugbo,Waterworld Cebu (Opening in December 2019),park / attraction,,,,,,"Barangay Umapad, Mandaue City, Cebu — near the tip of Marcelo Fernan Bridge in Mandaue City side. — approx. 15-20 minutes away from Mactan Airport.","Location: Barangay Umapad, Mandaue City, Cebu — near the tip of Marcelo Fernan Bridge in Mandaue City side. — approx. 15-20 minutes away from Mactan Airport. | What to expect: 7 Amazing Water Slides, Giant Wave Pool, Carnival Place, Hotel Facility","7 Amazing Water Slides, Giant Wave Pool, Carnival Place, Hotel Facility",https://sugbo.ph/2019/waterworld-cebu/,https://sugbo.ph/wp-content/uploads/2019/11/Waterworld-Cebu-Mandaue-1.jpg
Sugbo,Sirao Flower Gardens,garden / nature,,,,,,"Sirao, (uphill) Cebu City — approx. 2 hours away from Mactan Airport.","Location: Sirao, (uphill) Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: “Little Amsterdam” Garden Feels, Flower Gardens, Instagrammable Spots","“Little Amsterdam” Garden Feels, Flower Gardens, Instagrammable Spots",https://sugbo.ph/2019/new-sirao-flower-garden-cebu/,https://sugbo.ph/wp-content/uploads/2017/12/2newsiraoflowergarden-cebucity-1024x576.jpg
Sugbo,Temple of Leah,religious / historical,,,,,,"Busay, (uphill) Cebu City — approx. 2 hours away from Mactan Airport.","Location: Busay, (uphill) Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: Majestic structures, Overlooking view","Majestic structures, Overlooking view",https://sugbo.ph/2017/temple-of-leah/,https://sugbo.ph/wp-content/uploads/2016/03/temple-of-leah-cebu1.jpg
Sugbo,Buwakan ni Alejandra,garden / nature,,,,,,"Balamban, (uphill) Cebu — approx. 3 hours away from Mactan Airport.","Location: Balamban, (uphill) Cebu — approx. 3 hours away from Mactan Airport. | What to expect: Massive flower garden",Massive flower garden,https://sugbo.ph/2017/buwakan-ni-alejandra/,https://sugbo.ph/wp-content/uploads/2017/09/buwakan-ni-alejandria-cebu-1024x575.jpg
Sugbo,Tops Lookout,viewpoint / mountain,,,,,,"Busay, (uphill) Cebu City — approx. 2 hours away from Mactan Airport.","Location: Busay, (uphill) Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: Overlooking view, Chill-out bars","Overlooking view, Chill-out bars",https://sugbo.ph/2019/tops-lookout-cebu/,https://sugbo.ph/wp-content/uploads/2019/09/topslookout-busaycebu-3.jpg
Sugbo,Top of Cebu,food / dining,,,,,,"Busay, (uphill) Cebu City — just beside Tops Lookout, approx. 2 hours away from Mactan Airport.","Location: Busay, (uphill) Cebu City — just beside Tops Lookout, approx. 2 hours away from Mactan Airport. | What to expect: Dining with a view",Dining with a view,https://sugbo.ph/2018/top-of-cebu-restaurant/,https://sugbo.ph/wp-content/uploads/2018/11/Top-of-Cebu-Restaurant-2-1024x576.jpg
Sugbo,Don Emilio Botanical Garden,garden / nature,,,,,,"Busay, (uphill) Cebu City — just near Tops Lookout, approx. 2 hours away from Mactan Airport.","Location: Busay, (uphill) Cebu City — just near Tops Lookout, approx. 2 hours away from Mactan Airport. | What to expect: Pyramid sheds, Flower gardens, Pool","Pyramid sheds, Flower gardens, Pool",https://sugbo.ph/2019/dr-emilio-osmena-botanical-garden-resort/,https://sugbo.ph/wp-content/uploads/2019/05/Dr-Emilio-Osmeña-Botanical-Garden-Cebu-City-1-1024x632.jpg
Sugbo,La Vie in the Sky,food / dining,,,,,,"Busay, (uphill) Cebu City — just near Tops Lookout, approx. 2 hours away from Mactan Airport.","Location: Busay, (uphill) Cebu City — just near Tops Lookout, approx. 2 hours away from Mactan Airport. | What to expect: French cuisine & winery, Overlooking view","French cuisine & winery, Overlooking view",https://sugbo.ph/2018/la-vie-in-the-sky-cebu/,https://sugbo.ph/wp-content/uploads/2018/12/La-Vie-in-the-Sky-Cebu-4.jpg
Sugbo,La Vie Parisienne,food / dining,,,,,,"Lahug, Cebu City — approx. 2 hours away from Mactan Airport.","Location: Lahug, Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: French cuisine & winery, Little Paris feels","French cuisine & winery, Little Paris feels",https://sugbo.ph/2018/la-vie-parisienne-cebu/,https://sugbo.ph/wp-content/uploads/2018/10/La-Vie-Parisienne-Cebu-City-1-1024x1024.jpg
Sugbo,"10,000 Roses Cafe",food / dining,,,,,,"Cordova, Northern Cebu — approx. 1 hour away from Mactan Airport.","Location: Cordova, Northern Cebu — approx. 1 hour away from Mactan Airport. | What to expect: Literally 10,000 (unreal) roses, Cafe / restobar","Literally 10,000 (unreal) roses, Cafe / restobar",https://sugbo.ph/2017/10000-roses-cafe-cebu/,https://sugbo.ph/wp-content/uploads/2017/02/10000rosescafe-cebu2.jpg
Sugbo,Whale Shark Watching Oslob,beach / island / marine,,,,,,"Oslob, Southern Cebu — approx. 4 hours away from Mactan Airport.","Location: Oslob, Southern Cebu — approx. 4 hours away from Mactan Airport. | What to expect: Swimming with and/or watching the whale sharks",Swimming with and/or watching the whale sharks,https://sugbo.ph/2019/whale-shark-oslob-cebu-guide/,https://sugbo.ph/wp-content/uploads/2018/08/whale-shark-butanding-oslob-cebu-1.jpg
Sugbo,Sumilon Sandbar in Oslob,beach / island / marine,,,,,,"Oslob, Southern Cebu — approx. 4 hours away from Mactan Airport.","Location: Oslob, Southern Cebu — approx. 4 hours away from Mactan Airport. | What to expect: White sandbar, usually with day access to Bluewater Sumilon Resort","White sandbar, usually with day access to Bluewater Sumilon Resort",https://sugbo.ph/2019/whale-shark-oslob-cebu-guide/,https://sugbo.ph/wp-content/uploads/2017/05/sumilonisland-1024x1280.jpg
Sugbo,Pink Aserets in Oslob,garden / nature,,,,,,"Oslob, Southern Cebu — approx. 4 hours away from Mactan Airport.","Location: Oslob, Southern Cebu — approx. 4 hours away from Mactan Airport. | What to expect: Pink flowers (open field)",Pink flowers (open field),https://sugbo.ph/2019/oslob-pink-aseret-flowers/,https://sugbo.ph/wp-content/uploads/2019/08/Pink-Aseret-Flowers-Oslob-Cebu-2-1024x1024.jpg
Sugbo,Canyoneering / Kawasan Falls,waterfall / adventure,,,,,,"Badian, Southern Cebu — approx. 4 hours away from Mactan Airport.","Location: Badian, Southern Cebu — approx. 4 hours away from Mactan Airport. | What to expect: Kawasan Falls, Canyoneering Activity","Kawasan Falls, Canyoneering Activity",https://sugbo.ph/2018/canyoneering-in-kawasan-falls/,https://sugbo.ph/wp-content/uploads/2018/01/canyoneering-kawasan-cebu-1024x651.jpg
Sugbo,Sardine Run in Moalboal,beach / island / marine,,,,,,"Moalboal, Southern Cebu — approx. 4 hours away from Mactan Airport.","Location: Moalboal, Southern Cebu — approx. 4 hours away from Mactan Airport. | What to expect: Swimming with thousands of sardine fishes",Swimming with thousands of sardine fishes,https://sugbo.ph/2018/moalboal-getaway/,https://sugbo.ph/wp-content/uploads/2019/09/sardine-run-@taeyupkim_yupee-1024x1280.jpg
Sugbo,Pescador Island,beach / island / marine,,,,,,"Moalboal, Southern Cebu — approx. 4 hours away from Mactan Airport.","Location: Moalboal, Southern Cebu — approx. 4 hours away from Mactan Airport. | What to expect: Cliff jumping, Turtle Point","Cliff jumping, Turtle Point",https://sugbo.ph/2018/moalboal-getaway/,https://sugbo.ph/wp-content/uploads/2018/04/moalboal-pescador-island-1024x575.jpg
Sugbo,Strawberry Farm Dalaguete,garden / nature,,,,,,"Dalaguete, Southern Cebu — approx. 4 hours away from Mactan Airport.","Location: Dalaguete, Southern Cebu — approx. 4 hours away from Mactan Airport. | What to expect: Strawberry picking, Strawberry food trip","Strawberry picking, Strawberry food trip",https://sugbo.ph/2018/dalaguete-cebu-tourist-spots/,https://sugbo.ph/wp-content/uploads/2018/04/4-strawberry-farm.jpg
Sugbo,Sunflower Farm Dalaguete,garden / nature,,,,,,"Dalaguete, Southern Cebu — approx. 4 hours away from Mactan Airport.","Location: Dalaguete, Southern Cebu — approx. 4 hours away from Mactan Airport. | What to expect: Sunflower garden (seasonal)",Sunflower garden (seasonal),https://sugbo.ph/2018/dalaguete-cebu-tourist-spots/,https://sugbo.ph/wp-content/uploads/2018/03/Sunflower-Farm-Dalaguete-6-1.jpg
Sugbo,Osmena Peak Dalaguete,viewpoint / mountain,,,,,,"Dalaguete, Southern Cebu — approx. 4 hours away from Mactan Airport.","Location: Dalaguete, Southern Cebu — approx. 4 hours away from Mactan Airport. | What to expect: 30min to 1 hour of Trekking, Overlooking view","30min to 1 hour of Trekking, Overlooking view",https://sugbo.ph/2018/dalaguete-cebu-tourist-spots/,https://sugbo.ph/wp-content/uploads/2018/04/1-osmena-peak-2-1024x768.jpg
Sugbo,Man-Made Forest in Minglanilla,attraction,,,,,,"Minglanilla, Southern Cebu — approx. 2 hours away from Mactan Airport.","Location: Minglanilla, Southern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Man-made forest",Man-made forest,https://sugbo.ph/2018/man-made-forest-cebu/,https://sugbo.ph/wp-content/uploads/2018/06/1manmadeforest-cebu-1024x576.jpg
Sugbo,Simala Shrine,religious / historical,,,,,,"Sibonga, Southern Cebu — approx. 4 hours away from Mactan Airport.","Location: Sibonga, Southern Cebu — approx. 4 hours away from Mactan Airport. | What to expect: Biggest church in Cebu, Home of the miraculous image of Mama Mary","Biggest church in Cebu, Home of the miraculous image of Mama Mary",https://sugbo.ph/2019/simala-shrine-church-cebu/,https://sugbo.ph/wp-content/uploads/2019/06/Simala-Shrine-Castle-Church-Cebu-2-1024x768.jpg
Sugbo,Basilica del Santo Niño / Magellan’s Cross,religious / historical,,,,,,Cebu City — approx. 1.5 hours away from Mactan Airport.,"Location: Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: One of the oldest churches in Cebu, iconic / historical landmark","One of the oldest churches in Cebu, iconic / historical landmark",https://sugbo.ph/2018/cebu-city-one-day-tour/,https://sugbo.ph/wp-content/uploads/2019/09/stonino-1.jpg
Sugbo,Taoist Temple,religious / historical,,,,,,Cebu City — approx. 1.5 hours away from Mactan Airport.,"Location: Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: Authentic, castle-like Chinese temple","Authentic, castle-like Chinese temple",https://sugbo.ph/2018/cebu-city-one-day-tour/,https://sugbo.ph/wp-content/uploads/2014/09/cebu-taoist-temple.jpg
Sugbo,Casa Gorordo Museum,museum / historical,,,,,,"Parian, Cebu City — approx. 1.5 hours away from Mactan Airport.","Location: Parian, Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: House museum",House museum,https://sugbo.ph/2018/cebu-city-one-day-tour/,https://sugbo.ph/wp-content/uploads/2019/09/Casa-Gorordo-Museum-Cebu-City-1024x700.jpg
Sugbo,YAP-SAN DIEGO ANCESTRAL HOUSE,museum / historical,,,,,,"Parian, Cebu City — approx. 1.5 hours away from Mactan Airport.","Location: Parian, Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: One of the oldest homes in Cebu City",One of the oldest homes in Cebu City,https://sugbo.ph/2018/cebu-city-one-day-tour/,https://sugbo.ph/wp-content/uploads/2018/11/yap-sandiego-ancestral-house-cebu-1.jpg
Sugbo,1730 JESUIT HOUSE (MUSEO DE PARIAN),attraction,,,,,,"Parian, Cebu City — approx. 1.5 hours away from Mactan Airport.","Location: Parian, Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: 18th century house remarkably preserved behind big walls in the heart of Parian district",18th century house remarkably preserved behind big walls in the heart of Parian district,https://sugbo.ph/2018/cebu-city-one-day-tour/,https://sugbo.ph/wp-content/uploads/2019/04/1730-Jesuit-House-Museo-de-Parian-Cebu-1.jpg
Sugbo,Cebu Heritage Monument,museum / historical,,,,,,"Parian, Cebu City — approx. 1.5 hours away from Mactan Airport.","Location: Parian, Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: Huge sculptures made of concrete, bronze, brass and steel showing scenes about events and structures related to the history of Cebu","Huge sculptures made of concrete, bronze, brass and steel showing scenes about events and structures related to the history of Cebu",https://sugbo.ph/2018/cebu-city-one-day-tour/,https://sugbo.ph/wp-content/uploads/2019/09/Cebu-Heritage-Monument.jpg
Sugbo,Fort San Pedro,museum / historical,,,,,,"Plaza Independencia, Cebu City — approx. 1.5 hours away from Mactan Airport.","Location: Plaza Independencia, Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: Oldest fort in the Philippines (military defense structure)",Oldest fort in the Philippines (military defense structure),https://sugbo.ph/2018/cebu-city-one-day-tour/,https://sugbo.ph/wp-content/uploads/2018/06/fort-san-pedro_6-679x455.jpg
Sugbo,Pungko Pungko sa Fuente,food / dining,,,,,,"52 A J Llorente Street, Cebu City — approx. 1.5 hours away from Mactan Airport.","Location: 52 A J Llorente Street, Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: Cebu street food like ginabot (pork cracklings), lumpia, crab meat, etc.","Cebu street food like ginabot (pork cracklings), lumpia, crab meat, etc.",https://sugbo.ph/2018/pungko-pungko-sa-fuente/,https://sugbo.ph/wp-content/uploads/2018/09/Pungko-Pungko-sa-Fuente-Cebu-2-1024x768.jpg
Sugbo,Neri’s Ville Selfie Corner,viewpoint / mountain,,,,,,"Sitio Bombil, Barangay Lusaran, (uphill) Cebu City — approx. 2.5 hours away from Mactan Airport.","Location: Sitio Bombil, Barangay Lusaran, (uphill) Cebu City — approx. 2.5 hours away from Mactan Airport. | What to expect: Overlooking view, Instagrammable spots including Hobbit House & Bali’s Nest","Overlooking view, Instagrammable spots including Hobbit House & Bali’s Nest",https://sugbo.ph/2018/nerisville-selfie-corner-cebu/,https://sugbo.ph/wp-content/uploads/2018/09/Neris-Ville-Selfie-Corner-Cebu-1-1024x1365.jpg
