source,name,category,average_rating,review_count,price_range,latitude,longitude,description,url,page_offset
TripAdvisor,Ayala Center Cebu,Shopping Malls,4.3,1846,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d1475801-Reviews-Ayala_Center_Cebu-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Basilica del Santo Niño,Speciality Museums • Religious Sites,4.3,2178,,,,This famous church dates back to the early Spanish colonial era. The Church was founded by the Augustinian friars since their arrival in 1565. You could also find in the church the miraculous image…,https://www.tripadvisor.com/Attraction_Review-g298460-d320854-Reviews-Basilica_del_Santo_Nino-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Taoist Temple,Religious Sites,4.1,1513,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d1484752-Reviews-Taoist_Temple-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Tops Lookout,Observation Decks & Towers,4.1,1032,,,,This property is temporary closed,https://www.tripadvisor.com/Attraction_Review-g298460-d1784733-Reviews-Tops_Lookout-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Casa Gorordo Museum,Speciality Museums,4.6,625,,,,"Casa Gorordo is a house museum located in the historic Parian district of Cebu, the oldest city in the Philippines. Built in the 1850's, it lived through several important social changes that shaped…",https://www.tripadvisor.com/Attraction_Review-g298460-d320857-Reviews-Casa_Gorordo_Museum-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Magellan's Cross,Historic Sites,3.8,1849,,,,This is the spot where Ferdinand Magellan planted a cross in the soil in 1521 and claimed the Philippines for Spain.,https://www.tripadvisor.com/Attraction_Review-g298460-d320852-Reviews-Magellan_s_Cross-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Sirao Pictoral Garden,Gardens,3.9,301,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d11759529-Reviews-Sirao_Pictoral_Garden-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Cebu Ocean Park - Cebu,Amusement & Theme Parks • Aquariums,4.6,111,,,,"We are the largest Oceanarium in the Philippines aiming to provide both our visitors and community a unique marine-life experience to achieve our dream to educate, conserve and inspire. What drives…",https://www.tripadvisor.com/Attraction_Review-g298460-d16717756-Reviews-Cebu_Ocean_Park_Cebu-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,SM Seaside City Cebu,Shopping Malls,4.0,312,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d8853837-Reviews-SM_Seaside_City_Cebu-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Fort San Pedro,Historic Sites,3.8,1343,,,,This fort was built in the early 1700s to protect against Muslim raids.,https://www.tripadvisor.com/Attraction_Review-g298460-d320853-Reviews-Fort_San_Pedro-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Temple of Leah,Monuments & Statues,3.6,638,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d7396423-Reviews-Temple_of_Leah-Cebu_City_Cebu_Island_Visayas.html,0
TripAdvisor,Taboan Public Market,Flea & Street Markets,3.9,120,,,,,https://www.tripadvisor.com/Attraction_Review-g298460-d1818289-Reviews-Taboan_Public_Market-Cebu_City_Cebu_Island_Visayas.html,0
